content-provide,content-pull,publish-content,publish-service,service-provide,service-pull,unpin,upload-content,upload-service,wait-peers-content,wait-peers-service
817.85,1.09,23.33,8.18,9.03,0.77,0.02,0.12,0.02,0.01,0.01
782.70,1.09,8.17,22.85,10.62,0.76,0.01,0.18,0.02,0.01,0.01
898.09,1.12,22.37,22.76,9.47,0.76,0.01,0.15,0.01,0.01,0.01
921.54,1.06,22.82,13.35,19.64,0.85,0.01,0.21,0.01,0.01,0.01
874.96,1.11,10.97,22.77,10.47,0.75,0.01,0.14,0.02,0.01,0.01
823.76,1.12,15.26,22.05,10.99,0.90,0.01,0.10,0.05,0.01,0.01
744.83,1.08,22.89,8.60,10.47,0.76,0.01,0.14,0.01,0.01,0.01
796.59,1.14,22.87,8.36,11.01,0.78,0.01,0.13,0.02,0.01,0.01
856.37,1.09,21.92,8.12,9.76,0.81,0.01,0.24,0.07,0.01,0.00
847.89,1.09,22.24,7.28,12.27,0.77,0.01,0.23,0.02,0.00,0.00
850.00,1.08,22.44,22.33,10.95,0.75,0.01,0.18,0.03,0.01,0.00
812.15,1.11,21.83,21.80,20.27,0.79,0.01,0.20,0.02,0.01,0.01
809.16,1.20,23.36,17.55,11.02,0.74,0.01,0.16,0.04,0.01,0.01
845.93,1.08,22.61,14.71,11.19,0.75,0.01,0.22,0.02,0.01,0.01
829.54,1.08,22.42,9.30,11.10,0.81,0.01,0.19,0.02,0.00,0.01
772.42,1.21,22.04,8.20,9.82,0.75,0.01,0.21,0.02,0.01,0.01
817.39,1.09,22.96,7.80,11.01,0.76,0.01,0.24,0.07,0.01,0.01
834.11,1.08,23.12,7.46,11.13,0.80,0.01,0.17,0.02,0.01,0.00
819.49,1.08,22.03,8.65,6.82,0.78,0.01,0.11,0.04,0.01,0.01
846.47,1.12,23.31,16.00,9.07,0.79,0.01,0.21,0.02,0.01,0.01
